X(I=31),Y(J=21),PSI
28,26,84.09074696347892
30,26,86.34914438102956
32,26,88.27779473360944
34,26,89.92160148426565
36,26,91.31952424997084
38,26,92.50508600339568
40,26,93.50694129746496
42,26,94.34943408924475
44,26,95.05311133720139
46,26,95.63517847908527
48,26,96.10989308840779
50,26,96.48889792843062
52,26,96.78149673171062
54,26,96.99487666003573
56,26,97.13428125619808
58,26,97.20313716388621
60,26,97.20313716388621
0,28,0.0
2,28,8.163152426793134
4,28,16.418152652850633
6,28,24.799236330748876
8,28,33.22799578384251
10,28,41.48575753019175
12,28,49.26854043227265
14,28,56.34177894410896
16,28,62.597351512220676
18,28,68.0315033038717
20,28,72.70179617219283
22,28,76.69214768002186
24,28,80.09165198092067
26,28,82.9840791814553
28,28,85.44377975128238
30,28,87.53486947355812
32,28,89.31186156233343
34,28,90.82080270648851
36,28,92.10047897549876
38,28,93.18351792560446
40,28,94.09733483007585
42,28,94.86492216780525
44,28,95.50549966864901
46,28,96.0350460733583
48,28,96.46673212808061
50,28,96.81127106232368
52,28,97.07719943607533
54,28,97.27109829799143
56,28,97.3977621609808
58,28,97.46032131047149
60,28,97.46032131047149
0,30,0.0
2,30,8.142224173076833
4,30,16.508870894337626
6,30,25.241872471737743
8,30,34.29323777400011
10,30,43.32009245347359
12,30,51.74441968102534
14,30,59.19648845705958
16,30,65.57463959549173
18,30,70.94239547000831
20,30,75.43017432158402
22,30,79.17899742414453
24,30,82.3163780064528
26,30,84.94943589900441
28,30,87.16542336491318
30,30,89.03469217680595
32,30,90.61397931190793
34,30,91.9492687791678
36,30,93.07807099439562
38,30,94.03117186713693
40,30,94.83395790241634
42,30,95.50742005561116
44,30,96.06891906803742
46,30,96.53277398894592
48,30,96.91071825915637
50,30,97.21225472730286
52,30,97.44493162261577
54,30,97.61455490503386
56,30,97.7253477493156
58,30,97.78006457656711
60,30,97.78006457656711
0,32,0.0
2,32,7.896873368849413
4,32,16.23323427588491
6,32,25.36614488261963
8,32,35.38299038028947
10,32,45.75695482064248
12,32,55.19255737192104
14,32,63.1251155969383
16,32,69.56232293074792
18,32,74.73326464594415
20,32,78.8975082056853
22,32,82.27728967310067
24,32,85.04542670526085
26,32,87.3318630257074
28,32,89.23378561411799
30,32,90.82449653750638
32,32,92.16009470914834
34,32,93.28422208292437
36,32,94.23136433410613
38,32,95.02914062380177
40,32,95.69990483391726
42,32,96.26188106072965
