Iteration,Error_psi,Error_omega
204,1.5262242577175195e-05,0.01426892763701958
205,1.524058257751542e-05,0.014178384838282173
206,1.5219049907233236e-05,0.014088848903850525
207,1.5197643193093926e-05,0.014000303844321757
208,1.5176361083264527e-05,0.013912733999702484
209,1.5155202246879088e-05,0.0138261240310804
210,1.5134165373613996e-05,0.013740458912549781
211,1.5113249173274872e-05,0.013655723923368375
212,1.5092452375392292e-05,0.013571904640354614
213,1.50717737288295e-05,0.013488986930509077
214,1.5051212001396509e-05,0.013406956943844644
215,1.5030765979477927e-05,0.013325801106435331
216,1.5010434467666754e-05,0.013245506113662348
217,1.4990216288406605e-05,0.013166058923654602
218,1.4970110281645717e-05,0.01308744675092463
219,1.4950115304497637e-05,0.013009657060179534
220,1.4930230230906386e-05,0.012932677560311674
221,1.4910453951328296e-05,0.012856496198562741
222,1.4890785372410394e-05,0.01278110115484839
223,1.4871223416687124e-05,0.012706480836246493
224,1.4851767022275352e-05,0.012632623871639857
225,1.483241514258154e-05,0.012559519106501564
226,1.4813166746015113e-05,0.012487155597837458
227,1.4794020815707342e-05,0.012415522609259886
228,1.4774976349235734e-05,0.012344609606196395
229,1.4756032358358884e-05,0.012274406251237017
230,1.473718786875168e-05,0.012204902399602051
231,1.4718441919751712e-05,0.012136088094737001
232,1.4699793564108136e-05,0.012067953564022543
233,1.468124186773725e-05,0.012000489214606657
234,1.4662785909484243e-05,0.01193368562934297
235,1.4644424780889243e-05,0.011867533562839159
236,1.4626157585958256e-05,0.011802023937611839
237,1.4607983440940644e-05,0.011737147840343591
238,1.4589901474111181e-05,0.011672896518236628
239,1.4571910825555418e-05,0.011609261375463382
240,1.455401064696006e-05,0.01154623396971062
241,1.4536200101411556e-05,0.011483806008812963
242,1.4518478363193575e-05,0.011421969347475316
243,1.450084461759085e-05,0.011360715984075778
244,1.4483298060701171e-05,0.011300038057558198
245,1.4465837899244066e-05,0.011239927844396863
246,1.4448463350380724e-05,0.01118037775564194
247,1.4431173641532667e-05,0.011121380334041966
248,1.4413968010206307e-05,0.01106292825123614
249,1.439684570382216e-05,0.011005014305018171
250,1.4379805979545708e-05,0.010947631416671754
251,1.436284810412225e-05,0.010890772628368503
252,1.434597135371684e-05,0.01083443110063184
253,1.4329175013754788e-05,0.010778600109867606
254,1.431245837876843e-05,0.01072327304595087
255,1.4295820752243587e-05,0.010668443409873172
256,1.4279261446473666e-05,0.01061410481145215
257,1.4262779782412935e-05,0.010560250967089463
258,1.4246375089533124e-05,0.010506875697590708
259,1.4230046705685337e-05,0.010453972926033131
260,1.4213793976963216e-05,0.010401536675686036
261,1.4197616257568135e-05,0.0103495610679847
262,1.4181512909678368e-05,0.010298040320547501
263,1.416548330332042e-05,0.010246968745243728
264,1.4149526816243156e-05,0.010196340746308026
265,1.4133642833793613e-05,0.010146150818496071
266,1.4117830748796056e-05,0.010096393545286355
267,1.4102089961433027e-05,0.010047063597125505
268,1.4086419879129157e-05,0.009998155729712445
269,1.4070819916437098e-05,0.00994966478232106
270,1.4055289494925517e-05,0.009901585676167711
271,1.4039828043067652e-05,0.009853913412811348
272,1.4024434996136872e-05,0.009806643072590934
273,1.4009109796097455e-05,0.009759769813102446
274,1.3993851891504287e-05,0.009713288867707896
275,1.3978660737398374e-05,0.00966719554407922
276,1.396353579520917e-05,0.009621485222773
277,1.3948476532655649e-05,0.009576153355843789
278,1.3933482423650939e-05,0.009531195465480808
279,1.3918552948207861e-05,0.009486607142681331
280,1.390368759234665e-05,0.009442384045952231
281,1.3888885848004209e-05,0.009398521900038223
282,1.3874147212945045e-05,0.009355016494680297
283,1.3859471190674713e-05,0.00931186368340492
284,1.3844857290352192e-05,0.009269059382332924
285,1.3830305026708647e-05,0.009226599569020985
286,1.381581391996207e-05,0.009184480281325675
287,1.3801383495737547e-05,0.00914269761629197
288,1.3787013284987331e-05,0.00910124772906787
289,1.3772702823913335e-05,0.009060126831841372
290,1.3758451653889252e-05,0.009019331192801518
291,1.3744259321385872e-05,0.00897885713511934
292,1.3730125377897076e-05,0.008938701035954379
293,1.3716049379866744e-05,0.008898859325478887
294,1.3702030888618495e-05,0.008859328485927012
295,1.3688069470283655e-05,0.008820105050660068
296,1.3674164695733808e-05,0.008781185603253996
297,1.3660316140512906e-05,0.008742566776606208
298,1.3646523384770918e-05,0.008704245252058557
299,1.3632786013197677e-05,0.008666217758543576
300,1.3619103614959596e-05,0.00862848107174489
301,1.360547578363666e-05,0.008591032013275744
302,1.3591902117159325e-05,0.008553867449875022
303,1.3578382217749251e-05,0.008516984292620908
304,1.3564915691858287e-05,0.008480379496159098
305,1.3551502150110484e-05,0.008444050057946873
306,1.3538141207243106e-05,0.008407993017515446
307,1.3524832482051547e-05,0.00837220545574442
308,1.3511575597331969e-05,0.008336684494151866
309,1.3498370179827138e-05,0.00830142729419963
310,1.3485215860172084e-05,0.00826643105661127
311,1.3472112272842159e-05,0.008231693020706086
312,1.3459059056098725e-05,0.00819721046374428
313,1.344605585194023e-05,0.008162980700285637
314,1.3433102306050176e-05,0.008129001081563251
315,1.3420198067748214e-05,0.008095268994866017
316,1.3407342789941413e-05,0.00806178186293676
317,1.3394536129075658e-05,0.008028537143380763
318,1.3381777745089107e-05,0.0079955323280859
319,1.3369067301365917e-05,0.007962764942654592
320,1.3356404464689956e-05,0.00793023254584714
321,1.3343788905200272e-05,0.00789793272903483
322,1.3331220296347457e-05,0.007865863115665655
323,1.3318698314848631e-05,0.007834021360738566
324,1.3306222640647035e-05,0.007802405150288374
325,1.3293792956867734e-05,0.007771012200881658
326,1.3281408949777808e-05,0.007739840259121377
327,1.3269070308744534e-05,0.007708887101160991
328,1.325677672619639e-05,0.007678150532228738
329,1.3244527897582456e-05,0.00764762838615931
330,1.3232323521335145e-05,0.007617318524936417
331,1.3220163298830069e-05,0.0075872188382436236
332,1.3208046934350281e-05,0.00755732724302269
333,1.3195974135048384e-05,0.0075276416830397565
334,1.3183944610910036e-05,0.007498160128462884
335,1.3171958074718808e-05,0.007468880575443549
336,1.3160014242019733e-05,0.007439801045709011
337,1.3148112831086034e-05,0.00741091958616008
338,1.313625356288373e-05,0.007382234268478394
339,1.3124436161038794e-05,0.007353743188738914
340,1.3112660351803455e-05,0.007325444467031187
341,1.3100925864023815e-05,0.007297336247087111
342,1.3089232429107575e-05,0.00726941669591546
343,1.3077579780992649e-05,0.007241684003442193
344,1.3065967656115861e-05,0.007214136382159541
345,1.3054395793382244e-05,0.007186772066779166
346,1.3042863934134684e-05,0.007159589313893304
347,1.3031371822124325e-05,0.0071325864016409495
348,1.3019919203481638e-05,0.00710576162938052
349,1.300850582668652e-05,0.0070791133173687525
350,1.2997131442540767e-05,0.007052639806444706
351,1.2985795804139954e-05,0.007026339457719812
352,1.297449866684532e-05,0.007000210652272964
353,1.2963239788256941e-05,0.006974251790852728
354,1.2952018928187106e-05,0.00694846129358179
355,1.2940835848633478e-05,0.006922837599669626
356,1.2929690313753382e-05,0.006897379167128407
357,1.291858208983831e-05,0.006872084472495465
358,1.2907510945288138e-05,0.006846952010558495
359,1.289647665058691e-05,0.006821980294087342
360,1.2885478978277908e-05,0.006797167853569728
361,1.2874517702939438e-05,0.006772513236952192
362,1.2863592601161354e-05,0.006748015009384429
363,1.2852703451521314e-05,0.0067236717529694364
364,1.2841850034561782e-05,0.006699482066516634
365,1.2831032132767202e-05,0.006675444565299918
366,1.282024953054147e-05,0.0066515578808201475
367,1.2809502014185732e-05,0.006627820660571326
368,1.2798789371876817e-05,0.006604231567810029
369,1.2788111393645425e-05,0.006580789281330882
370,1.2777467871355172e-05,0.006557492495243716
371,1.2766858598681235e-05,0.00653433991875482
372,1.2756283371090207e-05,0.0065113302759532
373,1.2745741985819498e-05,0.006488462305599572
374,1.2735234241857411e-05,0.006465734760918467
375,1.2724759939923137e-05,0.006443146409394347
376,1.2714318882447654e-05,0.006420696032571469
377,1.2703910873554085e-05,0.006398382425856461
378,1.2693535719038904e-05,0.006376204398323797
379,1.2683193226353531e-05,0.006354160772526701
380,1.2672883204585291e-05,0.006332250384307733
381,1.266260546443988e-05,0.006310472082615677
382,1.265235981822271e-05,0.006288824729323526
383,1.2642146079822028e-05,0.006267307199049815
384,1.2631964064690839e-05,0.0062459183789840235
385,1.2621813589829918e-05,0.006224657168713072
386,1.2611694473770947e-05,0.006203522480051747
387,1.2601606536559503e-05,0.006182513236876231
388,1.2591549599738668e-05,0.006161628374958175
389,1.2581523486333028e-05,0.0061408668418047345
390,1.2571528020831882e-05,0.006120227596498375
391,1.256156302917414e-05,0.006099709609540528
392,1.2551628338732135e-05,0.006079311862698115
393,1.2541723778296447e-05,0.0060590333488515025
394,1.2531849178060633e-05,0.006038873071844895
395,1.252200436960604e-05,0.006018830046339943
396,1.2512189185887169e-05,0.0059989032976725
397,1.250240346121683e-05,0.005979091861708207
398,1.2492647031251878e-05,0.005959394784704096
399,1.2482919732978877e-05,0.005939811123170476
400,1.2473221404700016e-05,0.005920339943735796
401,1.2463551886019265e-05,0.005900980323011968
402,1.2453911017828449e-05,0.0058817313474645045
403,1.2444298642294116e-05,0.005862592113282681
404,1.2434714602843831e-05,0.005843561726251884
405,1.2425158744153155e-05,0.005824639301628752
406,1.2415630912132685e-05,0.005805823964017676
407,1.2406130953914893e-05,0.005787114847249267
408,1.2396658717842032e-05,0.005768511094261048
409,1.2387214053452972e-05,0.005750011856979374
410,1.2377796811471198e-05,0.005731616296203774
411,1.2368406843792707e-05,0.005713323581492247
412,1.2359044003473564e-05,0.00569513289104979
413,1.234970814471841e-05,0.005677043411616928
414,1.2340399122868587e-05,0.005659054338360728
415,1.2331116794390365e-05,0.005641164874767694
416,1.2321861016863763e-05,0.005623374232538091
417,1.2312631648971073e-05,0.005605681631481191
418,1.230342855048583e-05,0.0055880862994135425
419,1.2294251582261562e-05,0.005570587472057081
420,1.228510060622131e-05,0.005553184392939922
421,1.2275975485346217e-05,0.005535876313298814
422,1.2266876083665881e-05,0.005518662491981779
423,1.2257802266246713e-05,0.005501542195353062
424,1.2248753899182548e-05,0.005484514697199706
425,1.2239730849584042e-05,0.005467579278639307
426,1.2230732985568244e-05,0.005450735228028093
427,1.2221760176249385e-05,0.005433981840872626
428,1.2212812291728315e-05,0.00541731841974039
429,1.220388920308301e-05,0.005400744274173529
430,1.2194990782359065e-05,0.005384258720601761
431,1.2186116902560177e-05,0.005367861082259861
432,1.2177267437638445e-05,0.005351550689102546
433,1.2168442262485685e-05,0.005335326877723231
434,1.215964125292367e-05,0.0053191889912731745
435,1.2150864285695364e-05,0.005303136379381431
436,1.2142111238456e-05,0.00528716839807639
